Second | Worker 1 | Worker 2 | Worker 3 | Worker 4 | Worker 5 |
   142 |     V    |     R    |     Q    |     T    |     *    |
   143 |     V    |     R    |     P    |     T    |     *    |
   144 |     V    |     R    |     P    |     L    |     E    |
   145 |     V    |     R    |     P    |     L    |     E    |
   146 |     V    |     R    |     P    |     L    |     E    |
   147 |     V    |     R    |     P    |     L    |     E    |
   148 |     V    |     R    |     P    |     L    |     E    |
   149 |     V    |     R    |     P    |     L    |     E    |
   150 |     V    |     R    |     P    |     L    |     E    |
   151 |     V    |     R    |     P    |     L    |     E    |
   152 |     V    |     R    |     P    |     L    |     E    |
   153 |     V    |     R    |     P    |     L    |     E    |
   154 |     V    |     R    |     P    |     L    |     E    |
   155 |     V    |     R    |     P    |     L    |     E    |
   156 |     V    |     R    |     P    |     L    |     E    |
   157 |     V    |     R    |     P    |     L    |     E    |
   158 |     V    |     R    |     P    |     L    |     E    |
   159 |     V    |     R    |     P    |     L    |     E    |
   160 |     V    |     R    |     P    |     L    |     E    |
   161 |     V    |     R    |     P    |     L    |     E    |
   162 |     V    |     R    |     P    |     L    |     E    |
   163 |     V    |     *    |     P    |     L    |     E    |
   164 |     V    |     *    |     P    |     L    |     E    |
   165 |     V    |     *    |     P    |     L    |     E    |
   166 |     V    |     *    |     P    |     L    |     E    |
   167 |     *    |     *    |     P    |     L    |     E    |
   168 |     *    |     *    |     P    |     L    |     E    |
   169 |     *    |     *    |     P    |     L    |     E    |
   170 |     *    |     *    |     P    |     L    |     E    |
   171 |     *    |     *    |     P    |     L    |     E    |
   172 |     *    |     *    |     P    |     L    |     E    |
   173 |     *    |     *    |     P    |     L    |     E    |
   174 |     *    |     *    |     P    |     L    |     E    |
   175 |     *    |     *    |     P    |     L    |     E    |
   176 |     *    |     *    |     P    |     L    |     E    |
   177 |     *    |     *    |     P    |     L    |     E    |
   178 |     *    |     *    |     P    |     L    |     E    |
   179 |     *    |     *    |     P    |     L    |     E    |
   180 |     *    |     *    |     P    |     L    |     E    |
   181 |     *    |     *    |     P    |     L    |     E    |
   182 |     *    |     *    |     P    |     L    |     E    |
   183 |     *    |     *    |     P    |     L    |     E    |
   184 |     *    |     *    |     P    |     L    |     E    |
   185 |     *    |     *    |     P    |     L    |     E    |
   186 |     *    |     *    |     P    |     L    |     E    |
   187 |     *    |     *    |     P    |     L    |     E    |
   188 |     *    |     *    |     P    |     L    |     E    |
   189 |     *    |     *    |     P    |     L    |     E    |
   190 |     *    |     *    |     P    |     L    |     E    |
   191 |     *    |     *    |     P    |     L    |     E    |
   192 |     *    |     *    |     P    |     L    |     E    |
   193 |     *    |     *    |     P    |     L    |     E    |
   194 |     *    |     *    |     P    |     L    |     E    |
   195 |     *    |     *    |     P    |     L    |     E    |
   196 |     *    |     *    |     P    |     L    |     E    |
   197 |     *    |     *    |     P    |     L    |     E    |
   198 |     *    |     *    |     P    |     L    |     E    |
   199 |     *    |     *    |     P    |     L    |     E    |
   200 |     *    |     *    |     P    |     L    |     E    |
   201 |     *    |     *    |     P    |     L    |     E    |
   202 |     *    |     *    |     P    |     L    |     E    |
   203 |     *    |     *    |     P    |     L    |     E    |
   204 |     *    |     *    |     P    |     L    |     E    |
   205 |     *    |     *    |     P    |     L    |     E    |
   206 |     *    |     *    |     P    |     L    |     E    |
   207 |     *    |     *    |     P    |     L    |     E    |
   208 |     *    |     *    |     P    |     L    |     E    |
   209 |     *    |     *    |     P    |     L    |     U    |
   210 |     *    |     *    |     P    |     L    |     U    |
   211 |     *    |     *    |     P    |     L    |     U    |
   212 |     *    |     *    |     P    |     L    |     U    |
   213 |     *    |     *    |     P    |     L    |     U    |
   214 |     *    |     *    |     P    |     L    |     U    |
   215 |     *    |     *    |     P    |     L    |     U    |
   216 |     *    |     *    |     P    |     A    |     U    |
   217 |     *    |     *    |     P    |     A    |     U    |
   218 |     *    |     *    |     P    |     A    |     U    |
   219 |     *    |     *    |     *    |     A    |     U    |
   220 |     *    |     *    |     *    |     A    |     U    |
   221 |     *    |     *    |     *    |     A    |     U    |
   222 |     *    |     *    |     *    |     A    |     U    |
   223 |     *    |     *    |     *    |     A    |     U    |
   224 |     *    |     *    |     *    |     A    |     U    |
   225 |     *    |     *    |     *    |     A    |     U    |
   226 |     *    |     *    |     *    |     A    |     U    |
   227 |     *    |     *    |     *    |     A    |     U    |
   228 |     *    |     *    |     *    |     A    |     U    |
   229 |     *    |     *    |     *    |     A    |     U    |
   230 |     *    |     *    |     *    |     A    |     U    |
   231 |     *    |     *    |     *    |     A    |     U    |
   232 |     *    |     *    |     *    |     A    |     U    |
   233 |     *    |     *    |     *    |     A    |     U    |
   234 |     *    |     *    |     *    |     A    |     U    |
   235 |     *    |     *    |     *    |     A    |     U    |
   236 |     *    |     *    |     *    |     A    |     U    |
   237 |     *    |     *    |     *    |     A    |     U    |
   238 |     *    |     *    |     *    |     A    |     U    |
   239 |     *    |     *    |     *    |     A    |     U    |
   240 |     *    |     *    |     *    |     A    |     U    |
   241 |     *    |     *    |     *    |     A    |     U    |
   242 |     *    |     *    |     *    |     A    |     U    |
   243 |     *    |     *    |     *    |     A    |     U    |
   244 |     *    |     *    |     *    |     A    |     U    |
   245 |     *    |     *    |     *    |     A    |     U    |
   246 |     *    |     *    |     *    |     A    |     U    |
   247 |     *    |     *    |     *    |     A    |     U    |
   248 |     *    |     *    |     *    |     A    |     U    |
   249 |     *    |     *    |     *    |     A    |     U    |
   250 |     *    |     *    |     *    |     A    |     U    |
   251 |     *    |     *    |     *    |     A    |     U    |
   252 |     *    |     *    |     *    |     A    |     U    |
   253 |     *    |     *    |     *    |     A    |     U    |
   254 |     *    |     *    |     *    |     A    |     U    |
   255 |     *    |     *    |     *    |     A    |     U    |
   256 |     *    |     *    |     *    |     A    |     U    |
   257 |     *    |     *    |     *    |     A    |     U    |
   258 |     *    |     *    |     *    |     A    |     U    |
   259 |     *    |     *    |     *    |     A    |     U    |
   260 |     *    |     *    |     *    |     A    |     U    |
   261 |     *    |     *    |     *    |     A    |     U    |
   262 |     *    |     *    |     *    |     A    |     U    |
   263 |     *    |     *    |     *    |     A    |     U    |
   264 |     *    |     *    |     *    |     A    |     U    |
   265 |     *    |     *    |     *    |     A    |     U    |
   266 |     *    |     *    |     *    |     A    |     U    |
   267 |     *    |     *    |     *    |     A    |     U    |
   268 |     *    |     *    |     *    |     A    |     U    |
   269 |     *    |     *    |     *    |     A    |     U    |
   270 |     *    |     *    |     *    |     A    |     U    |
   271 |     *    |     *    |     *    |     A    |     U    |
   272 |     *    |     *    |     *    |     A    |     U    |
   273 |     *    |     *    |     *    |     A    |     U    |
   274 |     *    |     *    |     *    |     A    |     U    |
   275 |     *    |     *    |     *    |     A    |     U    |
   276 |     *    |     *    |     *    |     A    |     U    |
   277 |     *    |     *    |     *    |     *    |     U    |
   278 |     *    |     *    |     *    |     *    |     U    |
   279 |     *    |     *    |     *    |     *    |     U    |
   280 |     *    |     *    |     *    |     *    |     U    |
   281 |     *    |     *    |     *    |     *    |     U    |
   282 |     *    |     *    |     *    |     *    |     U    |
   283 |     *    |     *    |     *    |     *    |     U    |
   284 |     *    |     *    |     *    |     *    |     U    |
   285 |     *    |     *    |     *    |     *    |     U    |
   286 |     *    |     *    |     *    |     *    |     U    |
   287 |     *    |     *    |     *    |     *    |     U    |
   288 |     *    |     *    |     *    |     *    |     U    |
   289 |     *    |     *    |     *    |     *    |     U    |
   290 |     *    |     *    |     *    |     *    |     X    |
   291 |     M    |     *    |     *    |     *    |     X    |
   292 |     M    |     *    |     *    |     *    |     X    |
   293 |     M    |     *    |     *    |     *    |     X    |
   294 |     M    |     *    |     *    |     *    |     X    |
   295 |     M    |     *    |     *    |     *    |     X    |
   296 |     M    |     *    |     *    |     *    |     X    |
   297 |     M    |     *    |     *    |     *    |     X    |
   298 |     M    |     *    |     *    |     *    |     X    |
   299 |     M    |     *    |     *    |     *    |     X    |
   300 |     M    |     *    |     *    |     *    |     X    |
   301 |     M    |     *    |     *    |     *    |     X    |
   302 |     M    |     *    |     *    |     *    |     X    |
   303 |     M    |     *    |     *    |     *    |     X    |
   304 |     M    |     *    |     *    |     *    |     X    |
   305 |     M    |     *    |     *    |     *    |     X    |
   306 |     M    |     *    |     *    |     *    |     X    |
   307 |     M    |     *    |     *    |     *    |     X    |
   308 |     M    |     *    |     *    |     *    |     X    |
   309 |     M    |     *    |     *    |     *    |     X    |
   310 |     M    |     *    |     *    |     *    |     X    |
   311 |     M    |     *    |     *    |     *    |     X    |
   312 |     M    |     *    |     *    |     *    |     X    |
   313 |     M    |     *    |     *    |     *    |     X    |
   314 |     M    |     *    |     *    |     *    |     X    |
   315 |     M    |     *    |     *    |     *    |     X    |
   316 |     M    |     *    |     *    |     *    |     X    |
   317 |     M    |     *    |     *    |     *    |     X    |
   318 |     M    |     *    |     *    |     *    |     X    |
   319 |     M    |     *    |     *    |     *    |     X    |
   320 |     M    |     *    |     *    |     *    |     X    |
   321 |     M    |     *    |     *    |     *    |     X    |
   322 |     M    |     *    |     *    |     *    |     X    |
   323 |     M    |     *    |     *    |     *    |     X    |
   324 |     M    |     *    |     *    |     *    |     X    |
   325 |     M    |     *    |     *    |     *    |     X    |
   326 |     M    |     *    |     *    |     *    |     X    |
   327 |     M    |     *    |     *    |     *    |     X    |
   328 |     M    |     *    |     *    |     *    |     X    |
   329 |     M    |     *    |     *    |     *    |     X    |
   330 |     M    |     *    |     *    |     *    |     X    |
   331 |     M    |     *    |     *    |     *    |     X    |
   332 |     M    |     *    |     *    |     *    |     X    |
   333 |     M    |     *    |     *    |     *    |     X    |
   334 |     M    |     *    |     *    |     *    |     X    |
   335 |     M    |     *    |     *    |     *    |     X    |
   336 |     M    |     *    |     *    |     *    |     X    |
   337 |     M    |     *    |     *    |     *    |     X    |
   338 |     M    |     *    |     *    |     *    |     X    |
   339 |     M    |     *    |     *    |     *    |     X    |
   340 |     M    |     *    |     *    |     *    |     X    |
   341 |     M    |     *    |     *    |     *    |     X    |
   342 |     M    |     *    |     *    |     *    |     X    |
   343 |     M    |     *    |     *    |     *    |     X    |
   344 |     M    |     *    |     *    |     *    |     X    |
   345 |     M    |     *    |     *    |     *    |     X    |
   346 |     M    |     *    |     *    |     *    |     X    |
   347 |     M    |     *    |     *    |     *    |     X    |
   348 |     M    |     *    |     *    |     *    |     X    |
   349 |     M    |     *    |     *    |     *    |     X    |
   350 |     M    |     *    |     *    |     *    |     X    |
   351 |     M    |     *    |     *    |     *    |     X    |
   352 |     M    |     *    |     *    |     *    |     X    |
   353 |     M    |     *    |     *    |     *    |     X    |
   354 |     M    |     *    |     *    |     *    |     X    |
   355 |     M    |     *    |     *    |     *    |     X    |
   356 |     M    |     *    |     *    |     *    |     X    |
   357 |     M    |     *    |     *    |     *    |     X    |
   358 |     M    |     *    |     *    |     *    |     X    |
   359 |     M    |     *    |     *    |     *    |     X    |
   360 |     M    |     *    |     *    |     *    |     X    |
   361 |     M    |     *    |     *    |     *    |     X    |
   362 |     M    |     *    |     *    |     *    |     X    |
   363 |     M    |     *    |     *    |     *    |     X    |
   364 |     *    |     *    |     *    |     *    |     X    |
   365 |     *    |     *    |     *    |     *    |     X    |
   366 |     *    |     *    |     *    |     *    |     X    |
   367 |     *    |     *    |     *    |     *    |     X    |
   368 |     *    |     *    |     *    |     *    |     X    |
   369 |     *    |     *    |     *    |     *    |     X    |
   370 |     *    |     *    |     *    |     *    |     X    |
   371 |     *    |     *    |     *    |     *    |     X    |
   372 |     *    |     *    |     *    |     *    |     X    |
   373 |     *    |     *    |     *    |     *    |     X    |
   374 |     *    |     *    |     *    |     *    |     K    |
   375 |     H    |     *    |     *    |     *    |     K    |
   376 |     H    |     *    |     *    |     *    |     K    |
   377 |     H    |     *    |     *    |     *    |     K    |
   378 |     H    |     *    |     *    |     *    |     K    |
   379 |     H    |     *    |     *    |     *    |     K    |
   380 |     H    |     *    |     *    |     *    |     K    |
   381 |     H    |     *    |     *    |     *    |     K    |
   382 |     H    |     *    |     *    |     *    |     K    |
   383 |     H    |     *    |     *    |     *    |     K    |
   384 |     H    |     *    |     *    |     *    |     K    |
   385 |     H    |     *    |     *    |     *    |     K    |
   386 |     H    |     *    |     *    |     *    |     K    |
   387 |     H    |     *    |     *    |     *    |     K    |
   388 |     H    |     *    |     *    |     *    |     K    |
   389 |     H    |     *    |     *    |     *    |     K    |
   390 |     H    |     *    |     *    |     *    |     K    |
   391 |     H    |     *    |     *    |     *    |     K    |
   392 |     H    |     *    |     *    |     *    |     K    |
   393 |     H    |     *    |     *    |     *    |     K    |
   394 |     H    |     *    |     *    |     *    |     K    |
   395 |     H    |     *    |     *    |     *    |     K    |
   396 |     H    |     *    |     *    |     *    |     K    |
   397 |     H    |     *    |     *    |     *    |     K    |
   398 |     H    |     *    |     *    |     *    |     K    |
   399 |     H    |     *    |     *    |     *    |     K    |
   400 |     H    |     *    |     *    |     *    |     K    |
   401 |     H    |     *    |     *    |     *    |     K    |
   402 |     H    |     *    |     *    |     *    |     K    |
   403 |     H    |     *    |     *    |     *    |     K    |
   404 |     H    |     *    |     *    |     *    |     K    |
   405 |     H    |     *    |     *    |     *    |     K    |
   406 |     H    |     *    |     *    |     *    |     K    |
   407 |     H    |     *    |     *    |     *    |     K    |
   408 |     H    |     *    |     *    |     *    |     K    |
   409 |     H    |     *    |     *    |     *    |     K    |
   410 |     H    |     *    |     *    |     *    |     K    |
   411 |     H    |     *    |     *    |     *    |     K    |
   412 |     H    |     *    |     *    |     *    |     K    |
   413 |     H    |     *    |     *    |     *    |     K    |
   414 |     H    |     *    |     *    |     *    |     K    |
   415 |     H    |     *    |     *    |     *    |     K    |
   416 |     H    |     *    |     *    |     *    |     K    |
   417 |     H    |     *    |     *    |     *    |     K    |
   418 |     H    |     *    |     *    |     *    |     K    |
   419 |     H    |     *    |     *    |     *    |     K    |
   420 |     H    |     *    |     *    |     *    |     K    |
   421 |     H    |     *    |     *    |     *    |     K    |
   422 |     H    |     *    |     *    |     *    |     K    |
   423 |     H    |     *    |     *    |     *    |     K    |
   424 |     H    |     *    |     *    |     *    |     K    |
   425 |     H    |     *    |     *    |     *    |     K    |
   426 |     H    |     *    |     *    |     *    |     K    |
   427 |     H    |     *    |     *    |     *    |     K    |
   428 |     H    |     *    |     *    |     *    |     K    |
   429 |     H    |     *    |     *    |     *    |     K    |
   430 |     H    |     *    |     *    |     *    |     K    |
   431 |     H    |     *    |     *    |     *    |     K    |
   432 |     H    |     *    |     *    |     *    |     K    |
   433 |     H    |     *    |     *    |     *    |     K    |
   434 |     H    |     *    |     *    |     *    |     K    |
   435 |     H    |     *    |     *    |     *    |     K    |
   436 |     H    |     *    |     *    |     *    |     K    |
   437 |     H    |     *    |     *    |     *    |     K    |
   438 |     H    |     *    |     *    |     *    |     K    |
   439 |     H    |     *    |     *    |     *    |     K    |
   440 |     H    |     *    |     *    |     *    |     K    |
   441 |     H    |     *    |     *    |     *    |     K    |
   442 |     H    |     *    |     *    |     *    |     K    |
   443 |     *    |     *    |     *    |     *    |     K    |
   444 |     *    |     *    |     *    |     *    |     K    |
   445 |     *    |     *    |     *    |     *    |     W    |
   446 |     *    |     *    |     *    |     *    |     W    |
   447 |     *    |     *    |     *    |     *    |     W    |
   448 |     *    |     *    |     *    |     *    |     W    |
   449 |     *    |     *    |     *    |     *    |     W    |
   450 |     *    |     *    |     *    |     *    |     W    |
   451 |     *    |     *    |     *    |     *    |     W    |
   452 |     *    |     *    |     *    |     *    |     W    |
   453 |     *    |     *    |     *    |     *    |     W    |
   454 |     *    |     *    |     *    |     *    |     W    |
   455 |     *    |     *    |     *    |     *    |     W    |
   456 |     *    |     *    |     *    |     *    |     W    |
   457 |     *    |     *    |     *    |     *    |     W    |
   458 |     *    |     *    |     *    |     *    |     W    |
   459 |     *    |     *    |     *    |     *    |     W    |
   460 |     *    |     *    |     *    |     *    |     W    |
   461 |     *    |     *    |     *    |     *    |     W    |
   462 |     *    |     *    |     *    |     *    |     W    |
   463 |     *    |     *    |     *    |     *    |     W    |
   464 |     *    |     *    |     *    |     *    |     W    |
   465 |     *    |     *    |     *    |     *    |     W    |
   466 |     *    |     *    |     *    |     *    |     W    |
   467 |     *    |     *    |     *    |     *    |     W    |
   468 |     *    |     *    |     *    |     *    |     W    |
   469 |     *    |     *    |     *    |     *    |     W    |
   470 |     *    |     *    |     *    |     *    |     W    |
   471 |     *    |     *    |     *    |     *    |     W    |
   472 |     *    |     *    |     *    |     *    |     W    |
   473 |     *    |     *    |     *    |     *    |     W    |
   474 |     *    |     *    |     *    |     *    |     W    |
   475 |     *    |     *    |     *    |     *    |     W    |
   476 |     *    |     *    |     *    |     *    |     W    |
   477 |     *    |     *    |     *    |     *    |     W    |
   478 |     *    |     *    |     *    |     *    |     W    |
   479 |     *    |     *    |     *    |     *    |     W    |
   480 |     *    |     *    |     *    |     *    |     W    |
   481 |     *    |     *    |     *    |     *    |     W    |
   482 |     *    |     *    |     *    |     *    |     W    |
   483 |     *    |     *    |     *    |     *    |     W    |
   484 |     *    |     *    |     *    |     *    |     W    |
   485 |     *    |     *    |     *    |     *    |     W    |
   486 |     *    |     *    |     *    |     *    |     W    |
   487 |     *    |     *    |     *    |     *    |     W    |
   488 |     *    |     *    |     *    |     *    |     W    |
   489 |     *    |     *    |     *    |     *    |     W    |
   490 |     *    |     *    |     *    |     *    |     W    |
   491 |     *    |     *    |     *    |     *    |     W    |
   492 |     *    |     *    |     *    |     *    |     W    |
   493 |     *    |     *    |     *    |     *    |     W    |
   494 |     *    |     *    |     *    |     *    |     W    |
   495 |     *    |     *    |     *    |     *    |     W    |
   496 |     *    |     *    |     *    |     *    |     W    |
   497 |     *    |     *    |     *    |     *    |     W    |
   498 |     *    |     *    |     *    |     *    |     W    |
   499 |     *    |     *    |     *    |     *    |     W    |
   500 |     *    |     *    |     *    |     *    |     W    |
   501 |     *    |     *    |     *    |     *    |     W    |
   502 |     *    |     *    |     *    |     *    |     W    |
   503 |     *    |     *    |     *    |     *    |     W    |
   504 |     *    |     *    |     *    |     *    |     W    |
   505 |     *    |     *    |     *    |     *    |     W    |
   506 |     *    |     *    |     *    |     *    |     W    |
   507 |     *    |     *    |     *    |     *    |     W    |
   508 |     *    |     *    |     *    |     *    |     W    |
   509 |     *    |     *    |     *    |     *    |     W    |
   510 |     *    |     *    |     *    |     *    |     W    |
   511 |     *    |     *    |     *    |     *    |     W    |
   512 |     *    |     *    |     *    |     *    |     W    |
   513 |     *    |     *    |     *    |     *    |     W    |
   514 |     *    |     *    |     *    |     *    |     W    |
   515 |     *    |     *    |     *    |     *    |     W    |
   516 |     *    |     *    |     *    |     *    |     W    |
   517 |     *    |     *    |     *    |     *    |     W    |
   518 |     *    |     *    |     *    |     *    |     W    |
   519 |     *    |     *    |     *    |     *    |     W    |
   520 |     *    |     *    |     *    |     *    |     W    |
   521 |     *    |     *    |     *    |     *    |     W    |
   522 |     *    |     *    |     *    |     *    |     W    |
   523 |     *    |     *    |     *    |     *    |     W    |
   524 |     *    |     *    |     *    |     *    |     W    |
   525 |     *    |     *    |     *    |     *    |     W    |
   526 |     *    |     *    |     *    |     *    |     W    |
   527 |     *    |     *    |     *    |     *    |     W    |
   528 |     *    |     *    |     *    |     *    |     S    |
   529 |     *    |     *    |     *    |     *    |     S    |
   530 |     *    |     *    |     *    |     *    |     S    |
   531 |     *    |     *    |     *    |     *    |     S    |
   532 |     *    |     *    |     *    |     *    |     S    |
   533 |     *    |     *    |     *    |     *    |     S    |
   534 |     *    |     *    |     *    |     *    |     S    |
   535 |     *    |     *    |     *    |     *    |     S    |
   536 |     *    |     *    |     *    |     *    |     S    |
   537 |     *    |     *    |     *    |     *    |     S    |
   538 |     *    |     *    |     *    |     *    |     S    |
   539 |     *    |     *    |     *    |     *    |     S    |
   540 |     *    |     *    |     *    |     *    |     S    |
   541 |     *    |     *    |     *    |     *    |     S    |
   542 |     *    |     *    |     *    |     *    |     S    |
   543 |     *    |     *    |     *    |     *    |     S    |
   544 |     *    |     *    |     *    |     *    |     S    |
   545 |     *    |     *    |     *    |     *    |     S    |
   546 |     *    |     *    |     *    |     *    |     S    |
   547 |     *    |     *    |     *    |     *    |     S    |
   548 |     *    |     *    |     *    |     *    |     S    |
